comment,like,share,follower,play
1597,32487,40,2352671,332204
2657,63429,195,2352671,768174
1624,89900,235,2352671,1886778
3358,166388,703,2352671,1423815
2580,82957,136,2352671,726281
7773,204320,1701,2352671,2324901
3305,238585,273,2352671,3696978
4162,85693,307,2352671,832071
1210,41496,100,2352671,551385
5597,188775,687,2352671,1872883
2113,69117,98,2352671,700812
16407,161807,375,2352671,1840931
5223,189162,385,2352671,2219445
6124,252055,473,2352671,2992191
6715,229437,986,2352671,3226491
1102,30941,292,2928879,1993289
4953,216043,3756,2928879,10382842
