comment,like,share,follower,play
1597,32487,40,2352671,332204
2657,63429,195,2352671,768174
1624,89900,235,2352671,1886778
3358,166388,703,2352671,1423815
2580,82957,136,2352671,726281
7773,204320,1701,2352671,2324901
3305,238585,273,2352671,3696978
4162,85693,307,2352671,832071
1210,41496,100,2352671,551385
5597,188775,687,2352671,1872883
2113,69117,98,2352671,700812
16407,161807,375,2352671,1840931
5223,189162,385,2352671,2219445
6124,252055,473,2352671,2992191
6715,229437,986,2352671,3226491
1102,30941,292,2928879,1993289
4953,216043,3756,2928879,10382842
1404,52580,166,2928879,918806
410,15894,1060,2928879,2516228
778,56197,185,2928879,826662
214,12472,1018,2928879,2489473
2385,151819,683,2928879,2722850
1448,116761,225,2928879,1486938
727,62698,109,2928879,2136416
2292,470268,1070,2928879,11111315
38539,2125732,18076,2928879,69716668
596,82032,114,2928879,3328580
2408,372187,472,2928879,12623023
1117,44666,135,2928879,1726867
470,32897,220,2928879,1633242
2068,175316,686,1810753,2491645
1409,104455,405,1810753,5596666
483,37457,56,1810753,525313
676,90729,147,1810753,1513117
517,55954,132,1810753,926722
1418,120991,350,1810753,1584371
1161,121974,107,1810753,1188638
1334,204280,373,1810753,3947464
2470,217709,924,1810753,2214643
1887,211295,375,1810753,2162571
5826,412666,2024,1810753,4256035
1614,147154,422,1810753,3120978
2425,141694,913,1810753,3212424
9115,456443,9502,1810753,7363155
2679,164264,829,1810753,1924660
1602,212393,288,6784118,3896876
397,153103,638,6784118,1418210
673,289482,801,6784118,3628680
698,203407,733,6784118,1372143
831,207242,658,6784118,2095572
564,215970,973,6784118,2908884
493,197809,1040,6784118,2084913
947,239428,1067,6784118,2177433
2282,781515,3046,6784118,13137692
893,246641,1193,6784118,2645878
863,87615,44,6784118,1418366
2550,323491,171,6784118,14785561
749,275448,1638,6784118,3538886
995,250714,744,6784118,2666226
835,193978,86,6784118,3383175
297,23708,77,3274299,489495
773,145589,605,3274299,3285170
341,43608,230,3274299,603836
241,24531,98,3274299,464591
181,13471,53,3274299,321127
50920,1100851,22842,3274299,27883463
1082,201140,882,3274299,2635658
8552,679898,5244,3274299,11234914
514,53830,284,3274299,1100671
902,51408,153,3274299,959964
551,87158,560,3274299,1520259
679,76417,290,3274299,1502502
17102,250949,14488,3274299,8958776
539,56939,278,3274299,1326923
19827,284562,15967,3274299,5795984
315,65131,128,5068235,1440692
161,68805,58,5068235,1954649
222,119257,126,5068235,1648616
1311,194339,231,5068235,2819509
1327,222262,357,5068235,3781984
671,232862,219,5068235,8766239
2990,441841,770,5068235,14116193
4078,1079193,932,5068235,25404088
10055,631876,889,5068235,8920743
4299,913177,881,5068235,14693475
2763,1058955,1491,5068235,19786955
1234,267925,414,5068235,3265263
3163,674570,681,5068235,13874492
433,122534,208,5068235,2275820
2970,277926,728,5068235,5055367
1390,123982,2870,23980398,8973558
18873,1397245,14487,23980398,57391398
5243,207439,8245,23980398,11083809
4036,572169,1699,23980398,16299875
1638,175728,2050,23980398,5054812
7979,789154,26989,23980398,24353535
2474,254728,2871,23980398,10802038
2318,128064,357,23980398,4628258
12942,697436,29330,23980398,32919165
2962,277694,1527,23980398,8431940
2230,205930,821,23980398,6208809
7971,732466,5891,23980398,37725184
4004,462476,3748,23980398,15682434
2456,142696,546,23980398,5929794
2749,445673,1067,23980398,7133162
784,12626,275,1114949,273133
399,4948,95,1114949,1271509
240,2298,29,1114949,118674
361,11893,50,1114949,227068
475,4716,50,1114949,236552
366,4513,29,1114949,206565
918,15693,357,1114949,807290
552,11142,338,1114949,851233
12964,469617,14481,1114949,17022111
1461,18246,688,1114949,883819
20182,533488,46501,1114949,15148181
87446,2699001,139101,1114949,66816953
1922,80506,1059,1114949,9777921
476,34153,75,3286849,438892
836,41947,53,3286849,535218
716,66078,144,3286849,1060636
1090,217425,85,3286849,2830180
1139,80483,123,3286849,1268780
4512,270964,320,3286849,4136817
1821,233092,260,3286849,3083500
914,98008,103,3286849,1495839
818,92897,56,3286849,1451771
2371,483664,812,3286849,6720502
2489,149848,435,3286849,1971927
2447,301906,1250,3286849,5369949
1934,276090,494,3286849,3261939
1581,203041,403,3286849,3469729
3666,182823,567,3286849,1937193
0,0,0,2562033,0
195,13066,70,2562033,191562
187,14392,156,2562033,223844
245,22414,203,2562033,226593
132,21194,589,2562033,214172
625,62582,383,2562033,744014
1240,56055,519,2562033,496622
300,83132,479,2562033,834307
534,136576,873,2562033,1436062
1025,200637,919,2562033,8040179
816,108641,993,2562033,1812000
554,121428,900,2562033,1246045
558,79001,853,2562033,779637
575,100423,964,2562033,1011046
564,92625,628,2562033,1826804
174,9798,19,2860497,127264
801,103800,157,2860497,1923206
1089,152342,198,2860497,5550415
280,17892,33,2860497,248557
354,22353,48,2860497,867726
442,28166,72,2860497,274288
967,216749,453,2860497,2421641
228,18816,37,2860497,278484
1082,178287,583,2860497,4623727
233,14277,29,2860497,224573
275,31148,60,2860497,304961
275,19659,27,2860497,265212
1115,93682,277,2860497,1252091
510,72091,107,2860497,1093002
371,43629,77,2860497,424083
1487,225675,468,5695494,11861859
1554,368125,502,5695494,10427247
317,64923,100,5695494,1345052
249,55477,43,5695494,1197036
298,52631,51,5695494,1130373
398,55792,26,5695494,1166027
4517,471000,816,5695494,10796023
2236,172236,232,5695494,13310602
1348,194354,235,5695494,3469363
12076,1491126,1674,5695494,38115782
551,79581,77,5695494,3244453
301,63290,39,5695494,1916162
1404,376218,492,5695494,6940642
605,72104,91,5695494,1991944
420,83068,86,5695494,1584634
4191,164677,959,1306208,2418567
441,25870,138,1306208,420594
786,38975,187,1306208,458713
115,8476,19,1306208,182849
1300,51953,614,1306208,699397
121,6310,43,1306208,146969
144,10850,35,1306208,268162
3378,101422,2491,1306208,2335585
10439,431339,4059,1306208,8344146
305,46473,54,1306208,814198
2987,185744,406,1306208,5109138
617,34886,102,1306208,758727
845,68388,148,1306208,997281
46041,1321750,34032,1306208,17875529
28537,1362012,16379,1306208,18338783
6168,44845,35,4868144,627944
886,25310,65,4868144,534475
171,12514,7,4868144,410073
6290,451451,2719,4868144,6680739
527,40183,71,4868144,1124714
986,186405,158,4868144,2506954
49466,2937384,49992,4868144,56567567
328,46865,47,4868144,1845812
693,73469,146,4868144,1958516
597,80003,93,4868144,1900334
445,34461,118,4868144,1211779
361,33325,149,4868144,1097125
3035,248705,255,4868144,3113622
2585,265211,651,4868144,3582643
535,129624,97,4868144,1816265
1661,68020,668,7634998,1393073
1338,61717,651,7634998,2180643
593,99852,184,7634998,6546843
18677,487916,15648,7634998,18651871
2836,180662,2145,7634998,5791133
507,49001,267,7634998,2068657
3486,91917,614,7634998,2219932
827,51031,1174,7634998,2852180
8628,295180,978,7634998,6290475
12265,583018,6222,7634998,9306804
431,36136,157,7634998,2129552
3612,125408,2057,7634998,4045609
19985,575357,16315,7634998,11736358
3055,971102,1679,7634998,24570593
